"data" "maxima" "pd"
2016-12-22 0.82 "dawn"
2016-12-22 0.8 "morn"
2016-12-22 0.75 "after"
2016-12-22 0.55 "night"
2016-12-23 0.84 "dawn"
2016-12-23 0.8 "morn"
2016-12-23 0.76 "after"
2016-12-23 0.58 "night"
2016-12-24 0.79 "dawn"
2016-12-24 0.89 "morn"
2016-12-24 0.84 "after"
2016-12-24 0.54 "night"
2016-12-25 0.84 "dawn"
2016-12-25 0.86 "morn"
2016-12-25 0.8 "after"
2016-12-25 0.54 "night"
2016-12-26 0.69 "dawn"
2016-12-26 0.76 "morn"
2016-12-26 0.64 "after"
2016-12-26 0.53 "night"
2016-12-27 0.76 "dawn"
2016-12-27 0.78 "morn"
2016-12-27 0.62 "after"
2016-12-27 0.55 "night"
2016-12-28 0.8 "dawn"
2016-12-28 0.83 "morn"
2016-12-28 0.77 "after"
2016-12-28 0.5 "night"
2016-12-29 0.81 "dawn"
2016-12-29 0.81 "morn"
2016-12-29 0.78 "after"
2016-12-29 0.57 "night"
2016-12-30 0.77 "dawn"
2016-12-30 0.77 "morn"
2016-12-30 0.75 "after"
2016-12-30 0.56 "night"
2016-12-31 0.82 "dawn"
2016-12-31 0.82 "morn"
2016-12-31 0.76 "after"
2016-12-31 0.57 "night"
2017-01-01 0.79 "dawn"
2017-01-01 0.79 "morn"
2017-01-01 0.72 "after"
2017-01-01 0.63 "night"
2017-01-02 0.78 "dawn"
2017-01-02 0.77 "morn"
2017-01-02 0.73 "after"
2017-01-02 0.55 "night"
2017-01-03 0.8 "dawn"
2017-01-03 0.86 "morn"
2017-01-03 0.77 "after"
2017-01-03 0.51 "night"
2017-01-04 0.75 "dawn"
2017-01-04 0.82 "morn"
2017-01-04 0.79 "after"
2017-01-04 0.51 "night"
2017-01-05 0.8 "dawn"
2017-01-05 0.92 "morn"
2017-01-05 0.81 "after"
2017-01-05 0.52 "night"
2017-01-06 0.75 "dawn"
2017-01-06 0.82 "morn"
2017-01-06 0.72 "after"
2017-01-06 0.51 "night"
2017-01-07 0.84 "dawn"
2017-01-07 0.93 "morn"
2017-01-07 0.89 "after"
2017-01-07 0.5 "night"
2017-01-08 0.76 "dawn"
2017-01-08 0.82 "morn"
2017-01-08 0.74 "after"
2017-01-08 0.59 "night"
2017-01-09 0.87 "dawn"
2017-01-09 0.89 "morn"
2017-01-09 0.85 "after"
2017-01-09 0.54 "night"
2017-01-10 0.85 "dawn"
2017-01-10 0.83 "morn"
2017-01-10 0.75 "after"
2017-01-10 0.57 "night"
2017-01-11 0.76 "dawn"
2017-01-11 0.93 "morn"
2017-01-11 0.88 "after"
2017-01-11 0.55 "night"
2017-01-12 0.85 "dawn"
2017-01-12 0.87 "morn"
2017-01-12 0.83 "after"
2017-01-12 0.54 "night"
2017-01-13 0.81 "dawn"
2017-01-13 0.8 "morn"
2017-01-13 0.71 "after"
2017-01-13 0.49 "night"
2017-01-14 0.81 "dawn"
2017-01-14 0.86 "morn"
2017-01-14 0.78 "after"
2017-01-14 0.57 "night"
2017-01-15 0.8 "dawn"
2017-01-15 0.86 "morn"
2017-01-15 0.79 "after"
2017-01-15 0.49 "night"
2017-01-16 0.7 "dawn"
2017-01-16 0.75 "morn"
2017-01-16 0.66 "after"
2017-01-16 0.51 "night"
2017-01-17 0.74 "dawn"
2017-01-17 0.85 "morn"
2017-01-17 0.7 "after"
2017-01-17 0.54 "night"
2017-01-18 0.85 "dawn"
2017-01-18 0.85 "morn"
2017-01-18 0.77 "after"
2017-01-18 0.5 "night"
2017-01-19 0.76 "dawn"
2017-01-19 0.85 "morn"
2017-01-19 0.79 "after"
2017-01-19 0.53 "night"
2017-01-20 0.73 "dawn"
2017-01-20 0.89 "morn"
2017-01-20 0.81 "after"
2017-01-20 0.59 "night"
2017-01-21 0.71 "dawn"
2017-01-21 0.83 "morn"
2017-01-21 0.73 "after"
2017-01-21 0.54 "night"
2017-01-22 0.69 "dawn"
2017-01-22 0.75 "morn"
2017-01-22 0.72 "after"
2017-01-22 0.55 "night"
2017-01-23 0.7 "dawn"
2017-01-23 0.81 "morn"
2017-01-23 0.75 "after"
2017-01-23 0.48 "night"
2017-01-24 0.7 "dawn"
2017-01-24 0.8 "morn"
2017-01-24 0.76 "after"
2017-01-24 0.6 "night"
2017-01-25 0.79 "dawn"
2017-01-25 0.89 "morn"
2017-01-25 0.73 "after"
2017-01-25 0.55 "night"
2017-01-26 0.77 "dawn"
2017-01-26 0.83 "morn"
2017-01-26 0.77 "after"
2017-01-26 0.53 "night"
2017-01-27 0.73 "dawn"
2017-01-27 0.81 "morn"
2017-01-27 0.76 "after"
2017-01-27 0.57 "night"
2017-01-28 0.8 "dawn"
2017-01-28 0.85 "morn"
2017-01-28 0.77 "after"
2017-01-28 0.59 "night"
2017-01-29 0.76 "dawn"
2017-01-29 0.82 "morn"
2017-01-29 0.78 "after"
2017-01-29 0.65 "night"
2017-01-30 0.84 "dawn"
2017-01-30 0.85 "morn"
2017-01-30 0.82 "after"
2017-01-30 0.67 "night"
2017-01-31 0.8 "dawn"
2017-01-31 0.8 "morn"
2017-01-31 0.76 "after"
2017-01-31 0.73 "night"
2017-02-01 0.83 "dawn"
2017-02-01 0.8 "morn"
2017-02-01 0.78 "after"
2017-02-01 0.65 "night"
2017-02-02 0.89 "dawn"
2017-02-02 0.95 "morn"
2017-02-02 0.93 "after"
2017-02-02 0.67 "night"
2017-02-03 0.8 "dawn"
2017-02-03 0.88 "morn"
2017-02-03 0.87 "after"
2017-02-03 0.73 "night"
2017-02-04 0.77 "dawn"
2017-02-04 0.76 "morn"
2017-02-04 0.68 "after"
2017-02-04 0.43 "night"
2017-02-05 0.71 "dawn"
2017-02-05 0.79 "morn"
2017-02-05 0.64 "after"
2017-02-05 0.56 "night"
2017-02-06 0.83 "dawn"
2017-02-06 0.84 "morn"
2017-02-06 0.82 "after"
2017-02-06 0.54 "night"
2017-02-07 0.81 "dawn"
2017-02-07 0.9 "morn"
2017-02-07 0.86 "after"
2017-02-07 0.51 "night"
2017-02-08 0.83 "dawn"
2017-02-08 0.93 "morn"
2017-02-08 0.88 "after"
2017-02-08 0.56 "night"
2017-02-09 0.78 "dawn"
2017-02-09 0.84 "morn"
2017-02-09 0.78 "after"
2017-02-09 0.47 "night"
2017-02-10 0.86 "dawn"
2017-02-10 0.9 "morn"
2017-02-10 0.78 "after"
2017-02-10 0.52 "night"
2017-02-11 0.77 "dawn"
2017-02-11 0.85 "morn"
2017-02-11 0.79 "after"
2017-02-11 0.48 "night"
2017-02-12 0.84 "dawn"
2017-02-12 0.91 "morn"
2017-02-12 0.95 "after"
2017-02-12 0.54 "night"
2017-02-13 0.86 "dawn"
2017-02-13 0.92 "morn"
2017-02-13 0.89 "after"
2017-02-13 0.52 "night"
2017-02-14 0.8 "dawn"
2017-02-14 0.88 "morn"
2017-02-14 0.82 "after"
2017-02-14 0.46 "night"
2017-02-15 0.66 "dawn"
2017-02-15 0.74 "morn"
2017-02-15 0.61 "after"
2017-02-15 0.42 "night"
2017-02-16 0.64 "dawn"
2017-02-16 0.67 "morn"
2017-02-16 0.56 "after"
2017-02-16 0.51 "night"
2017-02-17 0.83 "dawn"
2017-02-17 0.91 "morn"
2017-02-17 0.8 "after"
2017-02-17 0.46 "night"
2017-02-18 0.8 "dawn"
2017-02-18 0.85 "morn"
2017-02-18 0.78 "after"
2017-02-18 0.5 "night"
2017-02-19 0.84 "dawn"
2017-02-19 0.86 "morn"
2017-02-19 0.71 "after"
2017-02-19 0.5 "night"
2017-02-20 0.86 "dawn"
2017-02-20 0.93 "morn"
2017-02-20 0.81 "after"
2017-02-20 0.5 "night"
2017-02-21 0.84 "dawn"
2017-02-21 0.83 "morn"
2017-02-21 0.78 "after"
2017-02-21 0.58 "night"
2017-02-22 0.81 "dawn"
