"data" "minima" "pd"
2016-12-22 0.66 "dawn"
2016-12-22 0.75 "morn"
2016-12-22 0.5 "after"
2016-12-22 0.41 "night"
2016-12-23 0.62 "dawn"
2016-12-23 0.78 "morn"
2016-12-23 0.48 "after"
2016-12-23 0.41 "night"
2016-12-24 0.63 "dawn"
2016-12-24 0.81 "morn"
2016-12-24 0.44 "after"
2016-12-24 0.37 "night"
2016-12-25 0.61 "dawn"
2016-12-25 0.81 "morn"
2016-12-25 0.49 "after"
2016-12-25 0.4 "night"
2016-12-26 0.6 "dawn"
2016-12-26 0.67 "morn"
2016-12-26 0.4 "after"
2016-12-26 0.36 "night"
2016-12-27 0.55 "dawn"
2016-12-27 0.66 "morn"
2016-12-27 0.37 "after"
2016-12-27 0.39 "night"
2016-12-28 0.62 "dawn"
2016-12-28 0.79 "morn"
2016-12-28 0.38 "after"
2016-12-28 0.33 "night"
2016-12-29 0.58 "dawn"
2016-12-29 0.79 "morn"
2016-12-29 0.39 "after"
2016-12-29 0.35 "night"
2016-12-30 0.64 "dawn"
2016-12-30 0.76 "morn"
2016-12-30 0.41 "after"
2016-12-30 0.34 "night"
2016-12-31 0.63 "dawn"
2016-12-31 0.77 "morn"
2016-12-31 0.42 "after"
2016-12-31 0.37 "night"
2017-01-01 0.64 "dawn"
2017-01-01 0.74 "morn"
2017-01-01 0.46 "after"
2017-01-01 0.44 "night"
2017-01-02 0.7 "dawn"
2017-01-02 0.76 "morn"
2017-01-02 0.48 "after"
2017-01-02 0.44 "night"
2017-01-03 0.61 "dawn"
2017-01-03 0.82 "morn"
2017-01-03 0.46 "after"
2017-01-03 0.38 "night"
2017-01-04 0.6 "dawn"
2017-01-04 0.76 "morn"
2017-01-04 0.41 "after"
2017-01-04 0.34 "night"
2017-01-05 0.59 "dawn"
2017-01-05 0.84 "morn"
2017-01-05 0.48 "after"
2017-01-05 0.4 "night"
2017-01-06 0.56 "dawn"
2017-01-06 0.77 "morn"
2017-01-06 0.39 "after"
2017-01-06 0.37 "night"
2017-01-07 0.56 "dawn"
2017-01-07 0.86 "morn"
2017-01-07 0.37 "after"
2017-01-07 0.36 "night"
2017-01-08 0.59 "dawn"
2017-01-08 0.79 "morn"
2017-01-08 0.33 "after"
2017-01-08 0.31 "night"
2017-01-09 0.68 "dawn"
2017-01-09 0.86 "morn"
2017-01-09 0.49 "after"
2017-01-09 0.4 "night"
2017-01-10 0.6 "dawn"
2017-01-10 0.76 "morn"
2017-01-10 0.42 "after"
2017-01-10 0.39 "night"
2017-01-11 0.61 "dawn"
2017-01-11 0.78 "morn"
2017-01-11 0.42 "after"
2017-01-11 0.38 "night"
2017-01-12 0.66 "dawn"
2017-01-12 0.86 "morn"
2017-01-12 0.39 "after"
2017-01-12 0.38 "night"
2017-01-13 0.61 "dawn"
2017-01-13 0.76 "morn"
2017-01-13 0.41 "after"
2017-01-13 0.39 "night"
2017-01-14 0.58 "dawn"
2017-01-14 0.82 "morn"
2017-01-14 0.47 "after"
2017-01-14 0.44 "night"
2017-01-15 0.65 "dawn"
2017-01-15 0.81 "morn"
